-10,51.82
-9,49.28
-8,46.89
-7,44.62
-6,42.48
-5,40.45
-4,38.53
-3,36.7
-2,34.97
-1,33.33
0,31.77
1,30.25
2,28.82
3,27.45
4,26.16
5,24.94
6,23.77
7,22.67
8,21.62
9,20.63
10,19.68
11,18.78
12,17.93
13,17.12
14,16.35
15,15.62
16,14.93
17,14.26
18,13.63
19,13.04
20,12.47
21,11.92
22,11.41
23,10.91
24,10.45
25,10
26,9.575
27,9.17
28,8.784
29,8.416
30,8.064
31,7.73
32,7.41
33,7.106
34,6.815
35,6.538
36,6.273
37,6.02
38,5.778
39,5.548
40,5.327
41,5.117
42,4.915
43,4.723
44,4.539
45,4.363
46,4.195
47,4.034
48,3.88
49,3.733
50,3.592
51,3.457
52,3.328
53,3.204
54,3.086
55,2.972
56,2.863
57,2.759
58,2.659
59,2.564
60,2.472
61,2.384
62,2.299
63,2.218
64,2.141
65,2.066
66,1.994
67,1.926
68,1.86
69,1.796
70,1.735
71,1.677
72,1.621
73,1.567
74,1.515
75,1.465
76,1.417
77,1.371
78,1.326
79,1.284
80,1.243
81,1.203
82,1.165
83,1.128
84,1.093
85,1.059
86,1.027
87,0.9955
88,0.9654
89,0.9363
90,0.9083
91,0.8812
92,0.855
93,0.8297
94,0.8052
95,0.7816
96,0.7587
97,0.7366
98,0.7152
99,0.6945
100,0.6744
101,0.6558
102,0.6376
103,0.6199
104,0.6026
105,0.5858
106,0.5694
107,0.5535
108,0.538
109,0.5229
110,0.5083
